publicCareNeedLevel,publicCareAgeLimit,wealthLimitFullStateContribution,wealthLimitPartialStateContribution,partialContributionRate,minimumIncomeGuarantee,taxBrakets,taxationRates,statePension,employeePensionContribution,employerPensionContribution,statePensionContribution,maleMortalityBias,femaleMortalityBias,careNeedBias,unmetCareNeedBias,fertilityBias,workingAge,pensionWage,incomeInitialLevels,incomeFinalLevels,incomeGrowthRate,wageVar,workDiscountingTime,weeklyHours,unmetNeedExponent,careBias,careTransitionRate,educationCosts,eduWageSensitivity,eduRankSensitivity,costantIncomeParam,costantEduParam,careEducationParam,incomeMarriageParam,betaGeoExp,betaSocExp,rankGenderBias,deltageProb,numChildrenExp,maleMarriageMultiplier,unmetCareNeedDiscountParam,shareUnmetNeedDiscountParam,hospitalizationParam,needLevelParam,unmetSocialCareParam,costHospitalizationPerDay,wageGrowthRate,baseDieProb,babyDieProb,maleAgeScaling,maleAgeDieProb,femaleAgeScaling,femaleAgeDieProb,num5YearAgeClasses,baseCareProb,personCareProb,maleAgeCareScaling,femaleAgeCareScaling,cdfCareTransition,careLevelNames,careDemandInHours,childHours,homeAdultHours,workingAdultHours,retiredHours,lowCareHandicap,hourlyCostOfCare,growingPopBirthProb,steadyPopBirthProb,transitionYear,minPregnancyAge,maxPregnancyAge,numOccupationClasses,occupationClasses,cdfOccupationClasses,ageOfAdulthood,ageOfRetirement,basicFemaleMarriageProb,femaleMarriageModifierByDecade,basicMaleMarriageProb,maleMarriageModifierByDecade,basicDivorceRate,variableDivorce,divorceModifierByDecade,divorceBias,probChildrenWithFather,probApartWillMoveTogether,coupleMovesToExistingHousehold,basicProbAdultMoveOut,probAdultMoveOutModifierByDecade,basicProbSingleMove,probSingleMoveModifierByDecade,basicProbFamilyMove,probFamilyMoveModifierByDecade,agingParentsMoveInWithKids,variableMoveBack,relocationCostParam,relocationCostBeta,incomeRelocationBeta,baserelocationRate
5,1000,14250,23250,0.5,163,663,0.4,164.35,0.04,0.03,0.01,0.8,0.85,0.9,0.5,0.9,16,5.0,5.0,10.0,0.4,0.1,0.75,40.0,1.0,0.9,0.7,0.0,0.4,4.0,5.0,10.0,0.005,0.025,2.0,2.0,0.5,0.0,1.0,1.3,0.5,0.5,0.5,2.0,2.0,400,1.0,0.0001,0.005,14.0,0.00021,15.5,0.00019,28,0.0002,0.0008,18.0,19.0,0.7,none,0.0,5.0,30.0,25.0,60.0,0.5,20.0,0.215,0.13,1965,17,42,3,lower,0.6,16,65,0.25,0.0,0.3,0.0,0.06,0.06,0.0,0.85,0.1,1.0,0.0,0.22,0.0,0.05,0.0,0.03,0.0,0.1,0.1,0.5,0.1,0.001,0.1
,,,,,,228,0.2,,,,,,,,,,18,7.0,7.0,15.0,0.35,,,30.0,,,,100.0,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.9,low,8.0,,,,,,,,,,,,,intermediate,0.9,,,,0.5,,0.16,,,1.0,,,,,,0.2,,1.0,,0.5,,,,,,
,,,,,,0,0.0,,,,,,,,,,20,10.0,9.0,22.0,0.35,,,20.0,,,,150.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.95,moderate,16.0,,,,,,,,,,,,,higher,1.0,,,,1.0,,0.5,,,0.9,,,,,,1.0,,1.0,,0.8,,,,,,
,,,,,,,,,,,,,,,,,22,13.0,11.0,33.0,0.3,,,0.0,,,,200.0,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,1.0,substantial,30.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,0.5,,,,,,0.6,,0.8,,0.5,,,,,,
,,,,,,,,,,,,,,,,,24,18.0,14.0,50.0,0.25,,,0.0,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,critical,80.0,,,,,,,,,,,,,,,,,,1.0,,0.8,,,0.4,,,,,,0.3,,0.4,,0.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,0.2,,,,,,0.15,,0.06,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.66,,,0.1,,,,,,0.03,,0.04,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.5,,,0.03,,,,,,0.03,,0.02,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.4,,,0.01,,,,,,0.01,,0.02,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.2,,,0.001,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.1,,,0.001,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.05,,,0.001,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.01,,,0.0,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.1,,,,,,
